Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url
2019,Bournemouth,Premier League,Ryan Fraser,SCO,"MF,FW",24,1994,38,35,3166,35.2,7,14,7,0,0,2,0,0.2,0.4,0.6,0.2,0.6,https://fbref.com/en/players/d56543a0/Ryan-Fraser
2014,Atlético Madrid,La Liga,Koke,ESP,MF,21,1992,36,33,2785,30.9,6,14,6,0,0,6,0,0.19,0.45,0.65,0.19,0.65,https://fbref.com/en/players/55126f3b/Koke
2018,Marseille,Ligue 1,Dimitri Payet,FRA,"MF,FW",30,1987,31,28,2347,26.1,6,14,4,2,3,6,0,0.23,0.54,0.77,0.15,0.69,https://fbref.com/en/players/58ae47b2/Dimitri-Payet
2019,Nîmes,Ligue 1,Téji Savanier,FRA,MF,26,1991,32,32,2864,31.8,6,14,2,4,4,6,1,0.19,0.44,0.63,0.06,0.5,https://fbref.com/en/players/6bde367b/Teji-Savanier
2016,Paris S-G,Ligue 1,Zlatan Ibrahimović,SWE,FW,33,1981,31,29,2549,28.3,38,13,33,5,6,1,0,1.34,0.46,1.8,1.17,1.62,https://fbref.com/en/players/4cde5509/Zlatan-Ibrahimovic
2019,Barcelona,La Liga,Lionel Messi,ARG,FW,31,1987,34,29,2713,30.1,36,13,32,4,5,3,0,1.19,0.43,1.63,1.06,1.49,https://fbref.com/en/players/d70ce98e/Lionel-Messi
2018,Lyon,Ligue 1,Memphis Depay,NED,"FW,MF",23,1994,36,28,2555,28.4,19,13,17,2,2,2,0,0.67,0.46,1.13,0.6,1.06,https://fbref.com/en/players/8f696594/Memphis-Depay
2018,Paris S-G,Ligue 1,Neymar,BRA,"FW,MF",25,1992,20,20,1786,19.8,19,13,15,4,4,5,1,0.96,0.66,1.61,0.76,1.41,https://fbref.com/en/players/69384e5d/Neymar
2014,Dortmund,Bundesliga,Marco Reus,GER,"FW,MF",24,1989,30,26,2207,24.5,16,13,10,6,6,6,0,0.65,0.53,1.18,0.41,0.94,https://fbref.com/en/players/36a3ff67/Marco-Reus
2015,Barcelona,La Liga,Luis Suárez,URU,FW,27,1987,27,25,2159,24,16,13,16,0,0,4,0,0.67,0.54,1.21,0.67,1.21,https://fbref.com/en/players/a6154613/Luis-Suarez
2010,Arsenal,Premier League,Cesc Fàbregas,ESP,"FW,MF",22,1987,27,26,2188,24.3,15,13,12,3,4,5,0,0.62,0.53,1.15,0.49,1.03,https://fbref.com/en/players/33508c78/Cesc-Fabregas
2017,Napoli,Serie A,José Callejón,ESP,FW,29,1987,37,37,3139,34.9,14,13,14,0,0,3,1,0.4,0.37,0.77,0.4,0.77,https://fbref.com/en/players/78841da9/Jose-Callejon
2021,Celta Vigo,La Liga,Iago Aspas,ESP,FW,32,1987,33,33,2864,31.8,14,13,9,5,5,9,0,0.44,0.41,0.85,0.28,0.69,https://fbref.com/en/players/7dcf86f6/Iago-Aspas
2014,Liverpool,Premier League,Steven Gerrard,ENG,MF,33,1980,34,33,2895,32.2,13,13,3,10,11,7,0,0.4,0.4,0.81,0.09,0.5,https://fbref.com/en/players/caeb5442/Steven-Gerrard
